maker_stability_rate,date
1.035024387,3/19/19
1.035024387,3/20/19
1.035024387,3/21/19
1.075053251,3/22/19
1.075053251,3/23/19
1.075053251,3/24/19
1.075053251,3/25/19
1.075053251,3/26/19
1.075053251,3/27/19
1.075053251,3/28/19
1.075053251,3/29/19
1.075053251,3/30/19
1.075053251,3/31/19
1.075053251,4/1/19
1.075053251,4/2/19
1.075053251,4/3/19
1.075053251,4/4/19
1.075053251,4/5/19
1.075053251,4/6/19
1.075053251,4/7/19
1.075053251,4/8/19
1.075053251,4/9/19
1.075053251,4/10/19
1.075053251,4/11/19
1.075053251,4/12/19
1.075053251,4/13/19
1.115083135,4/14/19
1.115083135,4/15/19
1.115083135,4/16/19
1.115083135,4/17/19
1.115083135,4/18/19
1.145106195,4/19/19
1.145106195,4/20/19
1.145106195,4/21/19
1.145106195,4/22/19
1.145106195,4/23/19
1.145106195,4/24/19
1.145106195,4/25/19
1.145106195,4/26/19
1.145106195,4/27/19
1.165121869,4/28/19
1.165121869,4/29/19
1.165121869,4/30/19
1.165121869,5/1/19
1.165121869,5/2/19
1.19514582,5/3/19
1.19514582,5/4/19
1.19514582,5/5/19
1.19514582,5/6/19
1.19514582,5/7/19
1.19514582,5/8/19
1.19514582,5/9/19
1.19514582,5/10/19
1.19514582,5/11/19
1.19514582,5/12/19
1.19514582,5/13/19
1.19514582,5/14/19
1.19514582,5/15/19
1.19514582,5/16/19
1.19514582,5/17/19
1.19514582,5/18/19
1.19514582,5/19/19
1.19514582,5/20/19
1.19514582,5/21/19
1.19514582,5/22/19
1.19514582,5/23/19
1.19514582,5/24/19
1.19514582,5/25/19
1.19514582,5/26/19
1.19514582,5/27/19
1.175129794,5/28/19
1.175129794,5/29/19
1.175129794,5/30/19
